EV_Charging_Station_Name,Charging_Location_ID,EV_Station_Working_Status,City_Name,Location_Area_Name,CPO_Operator,Vehicle_Name,Vehicle_Category,Session_ID,Charger_Type,Charging_Mode,Charger_Power,Connector_Type,Connector_Code,Currency,Price_per_kWh,Session_Start_Datetime,Session_End_Datetime,Duration,Duration_Minutes,Energy_Qty_kWh,Vehicle_Make_Model,Vehicle_Type,Vehicle_Battery_kWh,SOC_Start_%,SOC_End_%,Payment_Method,Payment_Status,Session_Energy_Amount,Session_Fee,Untaxed_Amount,Tax_Rate_%,Tax_Amount,Session_Total,Meter_Start_kWh,Meter_End_kWh,Session_Status,Idle_Time_Minutes,Tariff_Type
Kazam - Gateway Charging Station - Banjara Hills,RL01046,Available,Hyderabad,Banjara Hills,Kazam,Mahindra XUV400 EV,Electric 4-Wheeler,SES-20260901-000046,AC,AC Charging,7 kW,J1772,CN1,CAD,0.26,2026-09-01 08:21:00,2026-09-01 09:27:00,01:06:00,66,5.76,Tesla Model 3,EV,39.4,31,46,Wallet,Paid,1.5,0,1.5,15,0.22,1.72,413037.15,413042.91,Completed,18,Energy
Ather Grid - EcoDrive Hub - City Centre,RL01047,Available,Tumakuru,City Centre,Ather Grid,BMW iX1,Electric 4-Wheeler,SES-20260807-000047,DC,DC Fast Charging,100 kW,CCS2,CN3,USD,0.43,2026-08-07 13:47:00,2026-08-07 15:22:00,01:35:00,95,145.47,BMW i4,EV,66.4,27,100,Network App,Paid,62.55,2,64.55,10,6.46,71.01,372690.08,372835.55,Completed,15,Time + Energy
Zeon Charging - Lakeview Apartments - Kavanad,RL01048,Available,Kollam,Kavanad,Zeon Charging,Tata Punch EV,Electric 4-Wheeler,SES-20260729-000048,AC,AC Charging,22 kW,Type 2,CN3,CAD,0.27,2026-07-29 16:58:00,2026-07-29 18:02:00,01:04:00,64,19.53,Chevrolet Bolt EV,EV,35,31,87,Bank Card,Paid,5.27,0,5.27,13,0.69,5.96,481028.09,481047.62,Completed,28,Energy
Rebolt - UrbanCharge Station - Sathuvachari,RL01049,Available,Vellore,Sathuvachari,Rebolt,MG Comet EV,Electric 4-Wheeler,SES-20260811-000049,DC,DC Fast Charging,50 kW,CCS2,CN4,USD,0.44,2026-08-11 19:07:00,2026-08-11 19:24:00,00:17:00,17,7.83,Tesla Model 3,EV,17.3,50,95,RFID,Paid,3.45,2,5.45,5,0.27,5.72,422264.47,422272.3,Completed,25,Energy + Session Fee
Jio-bp pulse - Gateway Charging Station - Brodipet,RL01050,Available,Guntur,Brodipet,Jio-bp pulse,Tata Punch EV,Electric 4-Wheeler,SES-20260815-000050,AC,AC Charging,11 kW,Type 2,CN2,USD,0.39,2026-08-15 09:41:00,2026-08-15 12:11:00,02:30:00,150,18.1,BMW i4,EV,35,47,99,Network App,Paid,7.06,0.5,7.56,10,0.76,8.31,311191.33,311209.43,Completed,20,Energy
Rebolt - UrbanCharge Station - Edappally,RL01051,Available,Kochi,Edappally,Rebolt,Tesla Model Y,Electric 4-Wheeler,SES-20260725-000051,AC,AC Charging,3.3 kW,J1772,CN1,USD,0.49,2026-07-25 17:01:00,2026-07-25 19:01:00,02:00:00,120,5,Nissan Leaf,EV,75,35,42,Wallet,Paid,2.45,0,2.45,10,0.25,2.7,431711.66,431716.66,Completed,15,Energy
ChargeMOD - SmartCharge Point - Sira Road,RL01052,Available,Tumakuru,Sira Road,ChargeMOD,Citroen eC3,Electric 4-Wheeler,SES-20260807-000052,AC,AC Charging,22 kW,J1772,CN1,USD,0.47,2026-08-07 23:41:00,2026-08-08 01:17:00,01:36:00,96,28.01,MG ZS EV,EV,29.2,60,100,Bank Card,Paid,13.16,0,13.16,5,0.66,13.82,102403.48,102431.49,Completed,9,Energy
Rebolt - EV Mobility Hub - Whitefield,RL01053,Available,Bengaluru,Whitefield,Rebolt,Ola S1 Pro,Electric 2-Wheeler,SES-20260802-000053,AC,AC Charging,3.3 kW,J1772,CN2,USD,0.42,2026-08-02 17:44:00,2026-08-02 19:38:00,01:54:00,114,4.26,Ford Mustang Mach-E,EV,4,62,100,Bank Card,Paid,1.79,1,2.79,8,0.22,3.01,493621.12,493625.38,Completed,19,Time + Energy
Jio-bp pulse - Highway Charge Hub - Gollapudi,RL01054,Temp Closed,Vijayawada,Gollapudi,Jio-bp pulse,Tata Nexon EV,Electric 4-Wheeler,SES-20260823-000054,AC,AC Charging,11 kW,Type 2,CN4,USD,0.32,2026-08-23 19:39:00,2026-08-23 21:59:00,02:20:00,140,17.22,Tesla Model 3,EV,40.5,50,93,Bank Card,Paid,5.51,0.5,6.01,0,0,6.01,445760.09,445777.31,Completed,23,Energy
Tata Power EZ Charge - Iron Hill Apartments - Nadakkavu,RL01055,Available,Kozhikode,Nadakkavu,Tata Power EZ Charge,MG Windsor EV,Electric 4-Wheeler,SES-20260730-000055,AC,AC Charging,11 kW,Type 1,CN2,USD,0.29,2026-07-30 15:10:00,2026-07-30 16:44:00,01:34:00,94,12.08,Tata Nexon EV,EV,38,38,70,RFID,Paid,3.5,0,3.5,10,0.35,3.85,420946.78,420958.86,Completed,6,Energy + Session Fee
Statiq - EcoDrive Hub - Talap,RL01056,Available,Kannur,Talap,Statiq,MG Windsor EV,Electric 4-Wheeler,SES-20260723-000056,AC,AC Charging,11 kW,Type 2,CN4,USD,0.45,2026-07-23 23:31:00,2026-07-24 01:27:00,01:56:00,116,19.28,Volkswagen ID.4,EV,38,17,68,UPI,Pending,8.68,0,8.68,8,0.69,9.37,226362.17,226381.45,In Progress,0,Energy
Statiq - City Square EV Hub - Anna Nagar,RL01057,Available,Madurai,Anna Nagar,Statiq,Tata Nexon EV,Electric 4-Wheeler,SES-20260808-000057,AC,AC Charging,11 kW,Type 2,CN4,USD,0.4,2026-08-08 00:40:00,2026-08-08 00:59:00,00:19:00,19,3.13,Polestar 2,EV,40.5,22,30,UPI,Paid,1.25,1,2.25,10,0.23,2.48,8484.79,8487.92,Completed,15,Energy + Session Fee
Kazam - Green Valley Apartments - Avinashi Road,RL01058,Available,Tiruppur,Avinashi Road,Kazam,Mahindra XUV400 EV,Electric 4-Wheeler,SES-20260812-000058,DC,DC Fast Charging,250 kW,CCS2,CN4,CAD,0.3,2026-08-12 03:36:00,2026-08-12 04:47:00,01:11:00,71,226.97,Hyundai Ioniq 5,EV,39.4,56,100,UPI,Paid,68.09,0,68.09,13,8.85,76.94,129780.53,130007.5,In Progress,0,Energy
Kazam - Lakeview Apartments - Dargamitta,RL01059,Available,Nellore,Dargamitta,Kazam,Nissan Leaf,Electric 4-Wheeler,SES-20260815-000059,DC,DC Fast Charging,100 kW,CCS2,CN3,USD,0.27,2026-08-15 21:12:00,2026-08-15 22:24:00,01:12:00,72,107.11,Hyundai Ioniq 5,EV,40,38,100,Bank Card,Paid,28.92,1,29.92,5,1.5,31.42,312988.73,313095.84,Completed,14,Energy
